title,locality,price,object_status,image,url
Prodej bytu 2+1 61 m²,"Želechovice nad Dřevnicí, okres Zlín",4073000,Dobrý,"https://d18-a.sdn.cz/d_18/c_img_QP_LH/YWFBbVp.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/3240219980
Dražba bytu 2+1 54 m²,"Ústí nad Labem - Klíše, okres Ústí nad Labem",1127000,Dobrý,"https://d18-a.sdn.cz/d_18/c_img_gU_y/4gAHH7.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/2330666316
Prodej bytu 4+1 142 m²,"Liberec - Liberec I-Staré Město, okres Liberec",9066000,Dobrý,"https://d18-a.sdn.cz/d_18/c_img_QP_LI/sK4UXw.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/2053715276
Prodej bytu 1+1 44 m²,Most,862000,Dobrý,"https://d18-a.sdn.cz/d_18/c_img_QJ_Jp/y99tXT.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/754230604
Prodej bytu 2+1 59 m²,"Vyškov - Dědice, okres Vyškov",3211000,Dobrý,"https://d18-a.sdn.cz/d_18/c_img_QO_K8/jLIUoE.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/1313592652
Prodej bytu 2+kk 47 m²,"Olomouc - Povel, okres Olomouc",3801000,Dobrý,"https://d18-a.sdn.cz/d_18/c_img_gV_1/bfAHGj.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/2313889100
Prodej bytu 2+kk 49 m²,Louny,2179000,Dobrý,"https://d18-a.sdn.cz/d_18/c_img_QO_K8/6PKeB5.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/3320722764
Prodej bytu 3+kk 107 m²,Praha 7 - Holešovice,11346000,Dobrý,"https://d18-a.sdn.cz/d_18/c_img_QO_K7/HpDTEM.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/3624588620
Prodej bytu 4+kk 107 m²,Praha 8 - Libeň,13502000,Dobrý,"https://d18-a.sdn.cz/d_18/c_img_QJ_Ju/Kw8FNQ.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/3840902476
Prodej bytu 2+1 59 m²,Praha 10 - Záběhlice,3631000,Dobrý,"https://d18-a.sdn.cz/d_18/c_img_QM_Kp/81J4uk.jpeg?fl=rot,270,0|res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/267068748
